id,title,platform,url,skills,domain,difficulty,duration_hours,rating,reviews_count,price,instructor,description
32,Linux Administration Bootcamp,Udemy,https://www.udemy.com/course/linux-administration-bootcamp,Linux;Shell Scripting;System Administration;Bash,software-engineering,beginner,15,4.7,50000,Jason Cannon,Go from a Linux beginner to an advanced user and administrator
33,Tableau Complete Training,Udemy,https://www.udemy.com/course/tableau10,Tableau;Data Visualization;Business Intelligence;Analytics,data-science,beginner,10,4.6,80000,Kirill Eremenko,Tableau 2023 A-Z - Hands-On Tableau Training for Data Science
34,Power BI Complete Course,Udemy,https://www.udemy.com/course/microsoft-power-bi,Power BI;DAX;Data Modeling;Dashboards,data-science,beginner,12,4.6,70000,Maven Analytics,Microsoft Power BI Desktop for Business Intelligence
35,Blockchain Development,Udemy,https://www.udemy.com/course/blockchain-developer,Blockchain;Solidity;Ethereum;Smart Contracts,software-engineering,advanced,25,4.5,40000,Gregory McCubbin,Ethereum Blockchain Developer Bootcamp With Solidity
36,MongoDB Complete Guide,Udemy,https://www.udemy.com/course/mongodb-the-complete-developers-guide,MongoDB;NoSQL;Mongoose;Aggregation,web-development,intermediate,18,4.7,55000,Maximilian Schwarzmuller,MongoDB - The Complete Developer's Guide
37,Redis Crash Course,YouTube,https://www.youtube.com/watch?v=jgpVdJB2sKQ,Redis;Caching;Database;Performance,software-engineering,beginner,2,4.5,200000,Traversy Media,Redis Crash Course Tutorial - Introduction to Redis
38,GraphQL Complete Course,Udemy,https://www.udemy.com/course/graphql-bootcamp,GraphQL;Apollo;Node.js;Prisma,web-development,intermediate,25,4.7,45000,Andrew Mead,The Modern GraphQL Bootcamp with Node.js and Apollo
39,CI/CD with Jenkins,Udemy,https://www.udemy.com/course/learn-devops-ci-cd-with-jenkins,Jenkins;CI/CD;DevOps;Pipeline,cloud-computing,intermediate,12,4.5,35000,Edward Viaene,Learn DevOps CI/CD with Jenkins using Pipelines and Docker
40,Terraform for AWS,Udemy,https://www.udemy.com/course/terraform-beginner-to-advanced,Terraform;AWS;Infrastructure as Code;DevOps,cloud-computing,intermediate,15,4.7,40000,Zeal Vora,HashiCorp Certified Terraform Associate - Hands-On Labs
41,FastAPI Complete Course,YouTube,https://www.youtube.com/watch?v=0sOvCWFmrtA,FastAPI;Python;REST API;Async,software-engineering,intermediate,6,4.7,300000,FreeCodeCamp,Python API Development - Comprehensive Course for Beginners
42,Next.js Complete Guide,Udemy,https://www.udemy.com/course/nextjs-react,Next.js;React;Server Side Rendering;Full Stack,web-development,intermediate,25,4.7,60000,Maximilian Schwarzmuller,Next.js 14 & React - The Complete Guide
43,Rust Programming Language,Udemy,https://www.udemy.com/course/rust-lang,Rust;Systems Programming;Memory Safety;Concurrency,software-engineering,advanced,20,4.6,30000,Dmitri Nesteruk,The Rust Programming Language - Learn Rust from scratch
44,Go Complete Developer Guide,Udemy,https://www.udemy.com/course/go-the-complete-developers-guide,Go;Golang;Concurrency;REST API,software-engineering,intermediate,18,4.6,50000,Stephen Grider,Go - The Complete Developer's Guide
45,Apache Kafka for Beginners,Udemy,https://www.udemy.com/course/apache-kafka,Kafka;Streaming;Big Data;Event Driven,data-science,intermediate,8,4.6,45000,Stephane Maarek,Apache Kafka Series - Learn Apache Kafka for Beginners
46,Elasticsearch Complete Guide,Udemy,https://www.udemy.com/course/elasticsearch-complete-guide,Elasticsearch;Search;Analytics;ELK Stack,data-science,intermediate,15,4.6,30000,Bo Andersen,Complete Guide to Elasticsearch with examples
47,Unity Game Development,Udemy,https://www.udemy.com/course/unitycourse2,Unity;C#;Game Development;3D Graphics,game-development,beginner,40,4.7,100000,GameDev.tv,Complete C# Unity Game Developer 3D
48,Unreal Engine 5 Masterclass,Udemy,https://www.udemy.com/course/unrealcourse,Unreal Engine;C++;Game Development;Blueprints,game-development,intermediate,60,4.7,70000,GameDev.tv,Unreal Engine 5 C++ Developer - Learn C++ & Make Video Games
49,Figma UI/UX Design,Udemy,https://www.udemy.com/course/figma-ux-ui-design,Figma;UI Design;UX Design;Prototyping,ui-ux-design,beginner,25,4.7,80000,Daniel Walter Scott,Figma UI UX Design Essentials
50,Adobe XD Complete Course,Udemy,https://www.udemy.com/course/adobe-xd,Adobe XD;UI Design;Wireframing;Prototyping,ui-ux-design,beginner,15,4.5,40000,Daniel Walter Scott,Adobe XD UI UX Design from Scratch
